Region_1,High_Rated_Count,Average_Points
Costa d'Amalfi,1,91.0
Coste della Sesia,3,90.0
Costers del Segre,2,91.0
Costières de Nîmes,19,90.57894736842105
Coteaux Varois,4,90.5
Coteaux Varois en Provence,8,90.875
Coteaux d'Aix-en-Provence,27,91.22222222222223
Coteaux de Verdon,1,90.0
Coteaux du Giennois,3,90.33333333333333
Coteaux du Languedoc,7,91.28571428571429
Coteaux du Languedoc Pic Saint Loup,2,90.0
Coteaux du Layon,8,93.0
Coteaux du Layon Chaume,4,91.5
Cour-Cheverny,1,91.0
Criots-Bâtard-Montrachet,1,95.0
Crozes-Hermitage,11,91.0909090909091
Crémant d'Alsace,44,90.9090909090909
Crémant de Bourgogne,11,90.81818181818181
Crémant de Jura,1,90.0
Crémant de Loire,3,90.33333333333333
Cucamonga Valley,2,90.5
Cérons,1,90.0
Côte Rôtie,10,92.4
Côte de Beaune,2,91.5
Côte de Beaune-Villages,1,90.0
Côte de Brouilly,2,90.5
Côtes de Bergerac,10,91.5
Côtes de Bordeaux,9,90.11111111111111
Côtes de Bourg,5,90.4
Côtes de Castillon,2,90.0
Côtes de Gascogne,6,90.83333333333333
Côtes de Nuits Villages,1,91.0
Côtes de Provence,129,90.84496124031008
Côtes de Provence La Londe,6,92.0
Côtes de Provence Sainte-Victoire,26,91.07692307692308
Côtes du Jura,4,91.0
Côtes du Lot,2,90.5
Côtes du Marmandais,1,90.0
Côtes du Rhône,26,90.46153846153847
Côtes du Rhône Villages,4,90.0
Côtes du Roussillon,2,91.5
Côtes du Roussillon Les Aspres,1,91.0
Côtes du Roussillon Villages,2,90.5
Côtes du Roussillon Villages Caramany,1,90.0
Côtes du Roussillon Villages Tautavel,1,90.0
Côtes du Tarn,3,90.33333333333333
Delle Venezie,1,90.0
Diamond Mountain District,64,92.234375
Dogliani,3,90.66666666666667
Dogliani Superiore,1,90.0
Dolcetto d'Alba,2,91.0
Dominio de Valdepusa,11,91.54545454545455
Dry Creek Valley,160,91.05625
Dundee Hills,175,91.94857142857143
Dunnigan Hills,3,90.66666666666667
Echézeaux,19,93.84210526315789
Eden Valley,16,91.25
Edna Valley,105,91.80952380952381
El Dorado,66,90.95454545454545
El Pomar District,2,93.0
Elkton Oregon,3,91.0
Eloro,2,92.5
Empordà,2,91.5
Eola-Amity Hills,74,91.72972972972973
Etna,80,91.55
Fair Play,5,91.4
Falanghina del Sannio,1,90.0
Falerno del Massico,1,91.0
Fara,1,90.0
Faro,4,92.5
Faugères,5,90.6
Fiano di Avellino,18,91.11111111111111
Fiddletown,9,91.55555555555556
Finger Lakes,106,90.30188679245283
Fitou,1,91.0
Fixin,1,91.0
Fleurie,25,90.92
Fort Ross-Seaview,33,93.96969696969697
Franciacorta,72,90.91666666666667
Francs Côtes de Bordeaux,3,90.0
Frankland River,6,91.16666666666667
Friuli,2,94.5
Friuli Aquileia,1,92.0
Friuli Isonzo,12,90.5
Friuli Venezia Giulia,3,90.0
Fronsac,8,90.625
Fronton,8,90.5
Gaillac,24,91.75
Gattinara,11,92.0909090909091
Geographe,1,90.0
Gers,3,90.33333333333333
Gevrey-Chambertin,47,92.19148936170212
Ghemme,5,91.8
Gigondas,16,91.5
Givry,4,90.0
Grampians,1,91.0
Grand Valley,3,90.33333333333333
Grands-Echezeaux,4,93.5
Graves,27,90.55555555555556
Great Southern,8,91.25
Greco di Tufo,15,90.8
Green Valley,86,91.97674418604652
Guenoc Valley,4,90.5
Happy Canyon of Santa Barbara,30,91.3
Haut-Médoc,100,90.79
Heathcote,12,91.83333333333333
Hermitage,22,91.95454545454545
High Valley,6,91.16666666666667
Horse Heaven Hills,94,91.13829787234043
Howell Mountain,57,92.50877192982456
Hudson River Region,3,90.0
Humboldt County,2,90.5
Hunter Valley,5,90.4
Idaho,2,90.0
Ile de Beauté,1,90.0
Irpinia,16,91.0625
Irrouléguy,1,90.0
Isola dei Nuraghi,20,90.75
Isonzo del Friuli,5,90.4
Italy,2,90.0
Jerez,38,91.42105263157895
Jujuy,1,92.0
Juliénas,13,90.46153846153847
Jumilla,25,90.84
Jurançon,19,92.10526315789474
Jurançon Sec,8,90.875
Kelsey Bench-Lake County,2,91.5
King Valley,1,90.0
Knights Valley,19,91.47368421052632
La Consulta,10,91.8
La Grande Rue,1,92.0
La Mancha,1,90.0
Ladoix,2,90.0
Lago di Corbara,2,90.5
Lake Chelan,4,91.0
Lake County,46,90.93478260869566
Lake Erie North Shore,1,90.0
Lalande de Pomerol,18,90.55555555555556
Lambrusco di Modena,3,91.0
Lambrusco di Sorbara,6,91.33333333333333
Langhe,14,92.42857142857143
Langhorne Creek,8,91.125
Languedoc,2,90.0
Latricières-Chambertin,5,94.2
Lazio,5,91.0
Leelanau Peninsula,2,91.0
Lenswood,1,91.0
Les Baux de Provence,7,91.57142857142857
Lessini Durello,2,91.5
Lessona,4,92.25
Limestone Coast,2,91.5
Limoux,4,90.25
Lirac,4,90.75
Listrac-Médoc,11,91.0909090909091
Livermore Valley,76,91.0
Lodi,80,90.95
Long Island,16,90.25
Los Carneros,15,90.46666666666667
Luberon,1,90.0
Lugana,31,91.19354838709677
Luján de Cuyo,34,91.38235294117646
Lussac Saint-Émilion,5,90.8
Madiran,37,92.10810810810811
Malibu Coast,2,91.5
Malibu-Newton Canyon,1,92.0
Malvasia delle Lipari,3,90.33333333333333
Manchuela,1,90.0
Marche,2,91.5
Maremma,19,91.36842105263158
Maremma Toscana,11,90.36363636363636
Margaret River,52,91.36538461538461
Margaux,89,92.4494382022472
Marin County,17,91.76470588235294
Marsannay,10,90.6
Maury,1,91.0
Maury Sec,1,90.0
Mazis-Chambertin,3,93.0
McDowell Valley,1,94.0
McLaren Vale,91,91.1978021978022
McLaren Vale-Adelaide Hills,1,92.0
McMinnville,34,91.58823529411765
Mediterranée,2,90.0
Mendocino,63,91.04761904761905
Mendocino County,56,91.14285714285714
Mendocino Ridge,23,91.95652173913044
Mendoza,202,91.47524752475248
Menetou-Salon,4,91.0
Mercurey,24,91.08333333333333
Meursault,56,91.66071428571429
Meursault-Blagny,3,92.66666666666667
Minervois,6,90.0
Mokelumne River,2,91.5
Molise,1,91.0
Monbazillac,3,91.0
Monica di Sardegna,1,90.0
Montagne-Saint-Émilion,3,90.33333333333333
Montagny,2,90.0
Montecucco,8,91.125
Montefalco Rosso,11,90.81818181818181
Montefalco Sagrantino,23,92.08695652173913
Montepulciano d'Abruzzo,8,90.125
Monteregio di Massa Marittima,2,90.0
Monterey,37,91.37837837837837
Monterey County,28,91.28571428571429
Monterey-Santa Barbara,1,90.0
Monterey-Santa Cruz,2,92.0
Montescudaio,1,93.0
Monthélie,1,90.0
Monticello,3,90.33333333333333
Montilla-Moriles,5,92.2
Montrachet,4,95.75
Montravel,2,90.5
Montsant,13,90.92307692307692
Moon Mountain District Sonoma County,5,91.4
Morellino di Scansano,11,90.63636363636364
Morey-Saint-Denis,3,91.33333333333333
Morgon,50,91.38
Mornington Peninsula,4,91.5
Moscadello di Montalcino,2,93.5
Moscato d'Asti,5,90.4
Moscato di Noto,2,92.0
Moulin-à-Vent,37,91.51351351351352
Moulis,1,91.0
Moulis-en-Médoc,16,90.9375
Mount Barker,3,90.66666666666667
Mount Harlan,1,91.0
Mount Veeder,52,91.71153846153847
Mt. Harlan,27,92.14814814814815
Muscadet Côtes de Grandlieu,4,90.5
Muscadet Sèvre et Maine,48,91.10416666666667
Muscadet Sèvre et Maine Clisson,1,93.0
Muscat de Rivesaltes,1,91.0
Musigny,1,96.0
Málaga,5,91.8
Mâcon-Charnay,1,90.0
Mâcon-Davayé,1,90.0
Mâcon-Fuissé,1,90.0
Mâcon-Milly Lamartine,2,91.0
Mâcon-Verze,2,90.5
Mâcon-Villages,3,90.33333333333333
Médoc,37,90.54054054054055
Naches Heights,1,90.0
Nagambie Lakes,3,90.66666666666667
Napa,1,92.0
Napa County,8,91.25
Napa County-Sonoma County,10,91.6
Napa Valley,1078,91.73376623376623
Napa-Mendocino-Sonoma-Marin,1,91.0
Napa-Monterey-Mendocino,1,96.0
Napa-Sonoma,3,93.33333333333333
Napa-Sonoma-Marin,1,91.0
Navarra,8,91.125
Nebbiolo d'Alba,2,91.0
Nevada County,1,90.0
New York,5,90.0
Niagara Peninsula,12,91.41666666666667
Niagara-On-The-Lake,3,90.66666666666667
North Coast,50,91.56
North Fork of Long Island,60,90.71666666666667
Northern Sonoma,4,90.25
Noto,3,91.33333333333333
Nuits-St.-Georges,40,91.725
Oak Knoll District,25,90.84
Oakville,85,92.85882352941177
Okanagan Valley,32,91.28125
Old Mission Peninsula,1,90.0
Orcia,4,91.0
Oregon,60,91.01666666666667
Oregon Other,1,91.0
Orvieto Classico Superiore,3,92.33333333333333
Pacherenc du Vic Bilh,5,91.2
Padthaway,8,92.125
Paicines,1,90.0
Paso Robles,375,91.46933333333334
Paso Robles Willow Creek District,16,91.9375
Passito di Noto,1,92.0
Passito di Pantelleria,11,92.0909090909091
Patagonia,3,91.0
Pauillac,84,93.19047619047619
Pays d'Oc,1,90.0
Pedernal Valley,1,90.0
Pemberton,1,90.0
Penedès,8,91.0
Pennsylvania,1,91.0
Perdriel,10,90.7
Pernand-Vergelesses,11,91.72727272727273
Pessac-Léognan,147,92.53061224489795
Piccadilly Valley,1,91.0
Piedmont,3,91.0
Piemonte,3,91.33333333333333
Pine Mountain-Cloverdale Peak,2,94.0
Pla de Bages,2,91.5
Placer County,1,91.0
Pomerol,70,92.41428571428571
Pomino,3,90.33333333333333
Pommard,34,91.91176470588235
Potter Valley,2,90.5
Pouilly-Fuissé,66,91.28787878787878
Pouilly-Fumé,55,91.14545454545454
Pouilly-Loché,3,90.0
Pouilly-Vinzelles,3,90.0
Primitivo del Salento,1,90.0
Primitivo di Manduria,3,90.0
Priorat,80,91.7875
Prosecco,2,90.0
Prosecco Superiore di Cartizze,5,90.0
Prosecco di Conegliano,1,90.0
Prosecco di Conegliano e Valdobbiadene,1,90.0
Prosecco di Valdobbiadene,4,90.25
Puglia,1,90.0
Puisseguin Saint-Émilion,6,90.5
Puligny-Montrachet,44,92.52272727272727
Pyrenees,3,91.0
Pécharmant,3,90.66666666666667
Quarts de Chaume,7,93.42857142857143
Quincy,1,90.0
Ramandolo,1,90.0
Rasteau,1,92.0
Rattlesnake Hills,7,90.71428571428571
Recioto della Valpolicella Classico,7,90.0
Recioto di Soave,5,91.4
